title,description,sale_price,market_price,category,matched,year,brand,set,subset,player,card_number,attributes,team,variation,condition,graded,grader,certification_number,grade_name,grade_number,purchase_date,purchase_price,note,cabinet,shelf,box,row,section,sku,front_image,back_image
Josh Green Mavericks 2020-21 Recon #RRS-JGR Rookie Recon Signatures Blue 30/49,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Dallas Mavericks</strong></p><p><strong>Set: Panini 2020-21 Panini Recon </strong></p><p><strong>Additional info: Rookie Recon Signatures Blue Auto </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong><span class=""ql-cursor"">﻿</span></strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",15.00,,BASKETBALL,Yes,2020,Panini,2020-21 Panini Recon,Rookie Recon Signatures Blue,Josh Green,RRS-JGR,"SN,AU",Dallas Mavericks,,Near Mint or Better,No,,,,,,0,,,,,,,327,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675543-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675543-back.jpg
LeBron James Lakers 2023-24 Donruss Elite #1 Elite Series Orange Die Cut,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Los Angeles Lakers</strong></p><p><strong>Set: Donruss 2023-24 Donruss Elite </strong></p><p><strong>Additional info: Elite Series Orange Die Cut </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong><span class=""ql-cursor"">﻿</span></strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",10.00,5.50,BASKETBALL,Yes,2023,Donruss,2023-24 Donruss Elite,Elite Series Orange Die Cut,LeBron James,1,,Los Angeles Lakers,,Near Mint or Better,No,,,,,,0,,,,,,,328,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675547-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675547-back.jpg
Devin Booker Phoenix Suns 2021-22 Panini Black #51 128/149,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Phoenix Suns</strong></p><p><strong>Set: Panini 2021-22 Panini Black </strong></p><p><strong>Additional info: </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong><span class=""ql-cursor"">﻿</span></strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",10.00,,BASKETBALL,No,2021,Panini,2021-22 Panini Black,,Devin Booker,51,SN,Phoenix Suns,,Near Mint or Better,No,,,,,,0,,,,,,,329,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675550-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675550-back.jpg
Devin Booker Phoenix Suns 2022-23 Panini Recon #99 Holo Bronze 134/299,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Phoenix Suns</strong></p><p><strong>Set: Panini 2022-23 Panini Recon </strong></p><p><strong>Additional info: Holo Bronze </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong><span class=""ql-cursor"">﻿</span></strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",12.50,0.99,BASKETBALL,Yes,2022,Panini,2022-23 Panini Recon,Holo Bronze,Devin Booker,99,SN,Phoenix Suns,,Near Mint or Better,No,,,,,,0,,,,,,,330,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675559-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675559-back.jpg
Jayson Tatum Boston Celtics 2021-22 Panini Chronicles #301 Blue 17/99,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Boston Celtics</strong></p><p><strong>Set: Panini 2021-22 Panini Chronicles </strong></p><p><strong>Additional info: Blue </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong><span class=""ql-cursor"">﻿</span></strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",12.50,7.95,BASKETBALL,Yes,2021,Panini,2021-22 Panini Chronicles,Blue,Jayson Tatum,301,SN,Boston Celtics,,Near Mint or Better,No,,,,,,0,,,,,,,331,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675571-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675571-back.jpg
Donovan Mitchell 2022 Chronicles Draft Picks #TOTT-10 Red 108/199,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Louisville Cardinals</strong></p><p><strong>Set: Panini 2022 Panini Chronicles Draft Picks </strong></p><p><strong>Additional info: Absolute Tools of the Trade Red </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong><span class=""ql-cursor"">﻿</span></strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",30.00,,BASKETBALL,Yes,2022,Panini,2022 Panini Chronicles Draft Picks,Absolute Tools of the Trade Red,Donovan Mitchell,TOTT-10,"SN,MEM",Louisville Cardinals,,Near Mint or Better,No,,,,,,0,,,,,,,332,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675581-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675581-back.jpg
Paolo Banchero Magic 2024-25 Panini Mosaic #11 Montage Mosaic Blue 51/199,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Orlando Magic</strong></p><p><strong>Set: Panini 2024-25 Panini Mosaic </strong></p><p><strong>Additional info: Montage Mosaic Blue </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong><span class=""ql-cursor"">﻿</span></strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",12.50,4.75,BASKETBALL,Yes,2024,Panini,2024-25 Panini Mosaic,Montage Mosaic Blue,Paolo Banchero,11,SN,Orlando Magic,,Near Mint or Better,No,,,,,,0,,,,,,,333,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675595-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675595-back.jpg
Jeff Mullins Warriors 2020-21 Donruss Optic #SS-JMU Signature Series,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Golden State Warriors</strong></p><p><strong>Set: Donruss 2020-21 Donruss Optic </strong></p><p><strong>Additional info: Signature Series Auto </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong><span class=""ql-cursor"">﻿</span></strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",5.00,1.45,BASKETBALL,Yes,2020,Donruss,2020-21 Donruss Optic,Signature Series,Jeff Mullins,SS-JMU,AU,Golden State Warriors,,Near Mint or Better,No,,,,,,0,,,,,,,334,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675602-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675602-back.jpg
Paolo Banchero Orlando Magic 2024-25 Panini Mosaic #283 Orange Mosaic 246/249,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Orlando Magic</strong></p><p><strong>Set: Panini 2024-25 Panini Mosaic </strong></p><p><strong>Additional info: Orange Mosaic </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong><span class=""ql-cursor"">﻿</span></strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",10.00,,BASKETBALL,Yes,2024,Panini,2024-25 Panini Mosaic,Orange Mosaic,Paolo Banchero,283,SN,Orlando Magic,,Near Mint or Better,No,,,,,,0,,,,,,,335,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675609-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675609-back.jpg
Jaylen Brown Boston Celtics 2022-23 Panini Spectra #13 Interstellar 37/99,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Boston Celtics</strong></p><p><strong>Set: Panini 2022-23 Panini Spectra </strong></p><p><strong>Additional info: Interstellar </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong><span class=""ql-cursor"">﻿</span></strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",10.00,5.57,BASKETBALL,Yes,2022,Panini,2022-23 Panini Spectra,Interstellar,Jaylen Brown,13,SN,Boston Celtics,,Near Mint or Better,No,,,,,,0,,,,,,,336,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675610-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-941678/49675610-back.jpg
