title,description,sale_price,market_price,category,matched,year,brand,set,subset,player,card_number,attributes,team,variation,condition,graded,grader,certification_number,grade_name,grade_number,purchase_date,purchase_price,note,cabinet,shelf,box,row,section,sku,front_image,back_image
Tim Duncan Spurs 2017-18 Status Basketball #6 Status Quo Red #/299 cc979,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: San Antonio Spurs</strong></p><p><strong>Set:</strong> <strong> Basketball</strong>﻿<strong> sports Panini 2017-18 Panini Status </strong></p><p><strong>Condition: Near Mint or Better</strong></p><p><strong>Additional info: Status Quo Red </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong>﻿</strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",9.99,4.00,BASKETBALL,Yes,2017,Panini,2017-18 Panini Status,Status Quo Red,Tim Duncan,6,SN,San Antonio Spurs,,Near Mint or Better,No,,,,,,0,,,,,,AB6,cc979,https://storage.googleapis.com/cdp-batches-prod/51290-1275067/68286367-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-1275067/68286367-back.jpg
James Harden Clippers 2025-26 Chrome Basketball #54 Red White and Blue cc980,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Los Angeles Clippers</strong></p><p><strong>Set:</strong> <strong> Basketball</strong>﻿<strong> sports Topps 2025-26 Topps Chrome </strong></p><p><strong>Condition: Near Mint or Better</strong></p><p><strong>Additional info: Red White and Blue Refractor </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong>﻿</strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",3.39,1.20,BASKETBALL,Yes,2025,Topps,2025-26 Topps Chrome,Red White and Blue Refractor,James Harden,54,,Los Angeles Clippers,,Near Mint or Better,No,,,,,,0,,,,,,AB6,cc980,https://storage.googleapis.com/cdp-batches-prod/51290-1275067/68286370-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-1275067/68286370-back.jpg
Stephon Castle Rookie Spurs 2024-25 Haunted Hoops Basketball #250 cc981,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: San Antonio Spurs</strong></p><p><strong>Set:</strong> <strong> Basketball</strong>﻿<strong> sports 2024-25 Hoops Haunted Hoops </strong></p><p><strong>Condition: Near Mint or Better</strong></p><p><strong>Additional info: Rookie </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong>﻿</strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",3.39,1.64,BASKETBALL,Yes,2024,,2024-25 Hoops Haunted Hoops,,Stephon Castle,250,RC,San Antonio Spurs,,Near Mint or Better,No,,,,,,0,,,,,,AB6,cc981,https://storage.googleapis.com/cdp-batches-prod/51290-1275067/68286375-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-1275067/68286375-back.jpg
Jalen Suggs Magic 2023-24 Donruss Basketball #172 Green Laser Holo cc982,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Orlando Magic</strong></p><p><strong>Set:</strong> <strong> Basketball</strong>﻿<strong> sports Donruss 2023-24 Donruss </strong></p><p><strong>Condition: Near Mint or Better</strong></p><p><strong>Additional info: Green Laser Holo </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong>﻿</strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",3.39,1.39,BASKETBALL,Yes,2023,Donruss,2023-24 Donruss,Green Laser Holo,Jalen Suggs,172,,Orlando Magic,,Near Mint or Better,No,,,,,,0,,,,,,AB6,cc982,https://storage.googleapis.com/cdp-batches-prod/51290-1275067/68286380-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-1275067/68286380-back.jpg
Tobias Harris 76ers 2023-24 Obsidian Basketball Electric International cc983,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Philadelphia 76ers</strong></p><p><strong>Set:</strong> <strong> Basketball</strong>﻿<strong> sports Panini 2023-24 Panini Obsidian </strong></p><p><strong>Condition: Near Mint or Better</strong></p><p><strong>Additional info: Electric Etch International </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong>﻿</strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",3.99,1.78,BASKETBALL,Yes,2023,Panini,2023-24 Panini Obsidian,Electric Etch International,Tobias Harris,137,,Philadelphia 76ers,,Near Mint or Better,No,,,,,,0,,,,,,AB6,cc983,https://storage.googleapis.com/cdp-batches-prod/51290-1275067/68286385-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-1275067/68286385-back.jpg
Jaren Jackson Jr. Grizzlies 2024-25 Select Basketball #48 Orange Flash cc984,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Memphis Grizzlies</strong></p><p><strong>Set:</strong> <strong> Basketball</strong>﻿<strong> sports Prizm 2024-25 Panini Select </strong></p><p><strong>Condition: Near Mint or Better</strong></p><p><strong>Additional info: Orange Flash Prizm </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong>﻿</strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",3.39,0.99,BASKETBALL,Yes,2024,Prizm,2024-25 Panini Select,Orange Flash Prizm,Jaren Jackson Jr.,48,,Memphis Grizzlies,,Near Mint or Better,No,,,,,,0,,,,,,AB6,cc984,https://storage.googleapis.com/cdp-batches-prod/51290-1275067/68286393-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-1275067/68286393-back.jpg
Kel'el Ware Rookie Heat 2024-25 Donruss Basketball #221 International cc985,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Miami Heat</strong></p><p><strong>Set:</strong> <strong> Basketball</strong>﻿<strong> sports Donruss 2024-25 Donruss </strong></p><p><strong>Condition: Near Mint or Better</strong></p><p><strong>Additional info: International Rookie </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong>﻿</strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",4.99,1.41,BASKETBALL,Yes,2024,Donruss,2024-25 Donruss,International,Kel'el Ware,221,RC,Miami Heat,,Near Mint or Better,No,,,,,,0,,,,,,AB6,cc985,https://storage.googleapis.com/cdp-batches-prod/51290-1275067/68286397-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-1275067/68286397-back.jpg
Jaren Jackson Jr. Memphis Grizzlies 2022-23 Panini Recon Basketball #198 cc986,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Memphis Grizzlies</strong></p><p><strong>Set:</strong> <strong> Basketball</strong>﻿<strong> sports Panini 2022-23 Panini Recon </strong></p><p><strong>Condition: Near Mint or Better</strong></p><p><strong>Additional info: </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong>﻿</strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",3.39,0.99,BASKETBALL,Yes,2022,Panini,2022-23 Panini Recon,,Jaren Jackson Jr.,198,,Memphis Grizzlies,,Near Mint or Better,No,,,,,,0,,,,,,AB6,cc986,https://storage.googleapis.com/cdp-batches-prod/51290-1275067/68286400-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-1275067/68286400-back.jpg
Dalton Knecht Rookie Lakers 2024-25 Donruss Basketball #227 International cc987,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Los Angeles Lakers</strong></p><p><strong>Set:</strong> <strong> Basketball</strong>﻿<strong> sports Donruss 2024-25 Donruss </strong></p><p><strong>Condition: Near Mint or Better</strong></p><p><strong>Additional info: International Rookie </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong>﻿</strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",3.39,1.00,BASKETBALL,Yes,2024,Donruss,2024-25 Donruss,International,Dalton Knecht,227,RC,Los Angeles Lakers,,Near Mint or Better,No,,,,,,0,,,,,,AB6,cc987,https://storage.googleapis.com/cdp-batches-prod/51290-1275067/68286403-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-1275067/68286403-back.jpg
Tyrese Haliburton Pacers 2024-25 Revolution Basketball #91 Blue Storm cc988,"<div class=""ql-editor""><p><br></p><p><strong>Player: </strong></p><p><strong>Team: Indiana Pacers</strong></p><p><strong>Set:</strong> <strong> Basketball</strong>﻿<strong> sports Panini 2024-25 Panini Revolution </strong></p><p><strong>Condition: Near Mint or Better</strong></p><p><strong>Additional info: Blue Storm </strong></p><p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Please check out our other listings for more great cards.</span></p><p><br></p><p><strong>SHIPPING &amp; HANDLING</strong></p><p>Cards are shipped within 1-3 business days of payment.</p><p><br></p><p><strong>CARD CONDITION</strong></p><p>Please review all photos carefully - what you see is what you get.</p><p>The card is in the condition shown in the pictures.</p><p>Any flaws or defects are photographed and disclosed.</p><p><br></p><p><strong>RETURNS &amp; GUARANTEES</strong></p><p>14-day returns accepted.</p><p>100% authentic guaranteed.</p><p>Carefully packaged to ensure safe delivery.</p><p><br></p><p><strong>PAYMENT</strong></p><p>Payment is expected within 2-3 days of purchase. If waiti<strong>n</strong>g on additional auctions to end, please let me know. I'd be happy to wait.</p><p><br></p><p><strong>QUESTIONS?</strong></p><p>Feel free to message me before purchasing if you need additional photos or have any questions about the card.<strong>﻿</strong></p><p><br></p><p>Thanks for looking and happy collecting!</p></div>",3.39,0.99,BASKETBALL,Yes,2024,Panini,2024-25 Panini Revolution,Blue Storm,Tyrese Haliburton,91,,Indiana Pacers,,Near Mint or Better,No,,,,,,0,,,,,,AB6,cc988,https://storage.googleapis.com/cdp-batches-prod/51290-1275067/68286406-front.jpg,https://storage.googleapis.com/cdp-batches-prod/51290-1275067/68286406-back.jpg
