Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"800250822817",Jaylon Tyson Cleveland Cavaliers Rookie 2024-25 Donruss Optic #253 Holo,,577-4A2AB3C,"1","FIXED_PRICE","AUD",4.74,,,4.74,"0","","","Jun-27-26 02:39:35 PDT","Jul-27-26 02:39:35 PDT","Trading Card Singles","261328","","","Ungraded","","","","Near mint or better","","AU","","",""
"800250822819",Jayson Tatum Boston Celtics 2021-22 Panini Recon #9 Holo,,341-A911ADB-A41E858,"1","FIXED_PRICE","AUD",7.21,,,7.21,"0","","","Jun-27-26 02:39:35 PDT","Jul-27-26 02:39:35 PDT","Trading Card Singles","261328","","","Ungraded","","","","Near mint or better","","AU","","",""
"800250822821",Pelle Larsson Rookie 2024-25 Chrome #166 Pink Basketball Refractor cc690,,cc690-98A93B2,"1","FIXED_PRICE","AUD",5.99,,,5.99,"0","","","Jun-27-26 02:39:35 PDT","Jul-27-26 02:39:35 PDT","Trading Card Singles","261328","","","Ungraded","","","","Near mint or better","","AU","","",""
"800250822823",Cole Anthony Magic Rookie 2020-21 Panini Prizm #292 Purple Ice Prizms 14/175,,348-0A17349-E346072,"1","FIXED_PRICE","AUD",7.21,,,7.21,"0","","","Jun-27-26 02:39:35 PDT","Jul-27-26 02:39:35 PDT","Trading Card Singles","261328","","","Ungraded","","","","Near mint or better","","AU","","",""
"800250822824",Stephon Castle Spurs 2024-25 Prizm Basketball #4 Instant Impact cc706,,cc706-6B77764,"1","FIXED_PRICE","AUD",5.99,,,5.99,"0","","","Jun-27-26 02:39:35 PDT","Jul-27-26 02:39:35 PDT","Trading Card Singles","261328","","","Ungraded","","","","Near mint or better","","AU","","",""
"800250822825",Jaden McDaniels Minnesota Timberwolves 2020-21 Donruss Optic #178 Red Pulsar,,579-2057882,"1","FIXED_PRICE","AUD",18.99,,,18.99,"0","","","Jun-27-26 02:39:35 PDT","Jul-27-26 02:39:35 PDT","Trading Card Singles","261328","","","Ungraded","","","","Near mint or better","","AU","","",""
"800250822831",Shaedon Sharpe Trail Blazers 2023-24 Select #15 Purple Flash Prizms 14/175,,376-800A47E-1D9B25E,"1","FIXED_PRICE","AUD",7.21,,,7.21,"0","","","Jun-27-26 02:39:35 PDT","Jul-27-26 02:39:35 PDT","Trading Card Singles","261328","","","Ungraded","","","","Near mint or better","","AU","","",""
"800250822832",Kevin Durant Brooklyn Nets 2019-20 Panini Court Kings #55 Amethyst #/99,,528-67D784D,"1","FIXED_PRICE","AUD",18.99,,,18.99,"0","","","Jun-27-26 02:39:35 PDT","Jul-27-26 02:39:35 PDT","Trading Card Singles","261328","","","Ungraded","","","","Near mint or better","","AU","","",""
"800250822830",Desmond Bane Memphis Grizzlies Rookie 2020-21 Panini Flux #221 Red,,371-69B3C3C-8369D5B,"1","FIXED_PRICE","AUD",7.21,,,7.21,"0","","","Jun-27-26 02:39:35 PDT","Jul-27-26 02:39:35 PDT","Trading Card Singles","261328","","","Ungraded","","","","Near mint or better","","AU","","",""
"800250822833",Stephon Castle Rookie 2024-25 Donruss #244 San Antonio Spurs,,605-20DF2BF,"1","FIXED_PRICE","AUD",4.74,,,4.74,"0","","","Jun-27-26 02:39:35 PDT","Jul-27-26 02:39:35 PDT","Trading Card Singles","261328","","","Ungraded","","","","Near mint or better","","AU","","",""
"800250822835",Franz Wagner Michigan Wolverines 2021 Panini Chronicles Draft Picks #284 Silver,,571-52A4B98,"1","FIXED_PRICE","AUD",4.74,,,4.74,"0","0","0","Jun-27-26 02:39:35 PDT","Jul-27-26 02:39:35 PDT","Trading Card Singles","261328","","","Ungraded","","","","Near mint or better","","AU","","",""
"800250822836",Paolo Banchero Rookie 2022-23 Panini Chronicles #551 Orlando Magic,,623-53C50AA,"1","FIXED_PRICE","AUD",4.74,,,4.74,"0","","","Jun-27-26 02:39:35 PDT","Jul-27-26 02:39:35 PDT","Trading Card Singles","261328","","","Ungraded","","","","Near mint or better","","AU","","",""
"800250822837",Tyrese Haliburton Rookie 2020-21 Panini Chronicles #641 Sacramento Kings Red,,617-D41DC07,"1","FIXED_PRICE","AUD",4.74,,,4.74,"0","","","Jun-27-26 02:39:35 PDT","Jul-27-26 02:39:35 PDT","Trading Card Singles","261328","","","Ungraded","","","","Near mint or better","","AU","","",""
"800250822840",Reed Sheppard Houston Rockets 2024-25 Panini Prizm Black #145 Silver Prizms,,583-4977996,"1","FIXED_PRICE","AUD",18.99,,,18.99,"0","","","Jun-27-26 02:39:35 PDT","Jul-27-26 02:39:35 PDT","Trading Card Singles","261328","","","Ungraded","","","","Near mint or better","","AU","","",""
"800250822841",Keon Johnson RC Tennessee 2021 Panini Chronicles Draft Picks Blue /99 #56,,CDP-D8FE7FD-E73E25F,"1","FIXED_PRICE","AUD",4.74,,,4.74,"0","","","Jun-27-26 02:39:35 PDT","Jul-27-26 02:39:35 PDT","Trading Card Singles","261328","","","Ungraded","","","","Near mint or better","","AU","","",""
"800250822842",Tyrese Haliburton Rookie 2020-21 Panini Select #189 Sacramento Kings 634,,634-C731D4F,"1","FIXED_PRICE","AUD",4.74,,,4.74,"0","","","Jun-27-26 02:39:35 PDT","Jul-27-26 02:39:35 PDT","Trading Card Singles","261328","","","Ungraded","","","","Near mint or better","","AU","","",""
"800250822843",Devon Dotson Jayhawks 2020 Contenders Draft Picks #91 Game Ticket Red,,523-68F2E87,"1","FIXED_PRICE","AUD",4.74,,,4.74,"0","","","Jun-27-26 02:39:35 PDT","Jul-27-26 02:39:35 PDT","Trading Card Singles","261328","","","Ungraded","","","","Near mint or better","","AU","","",""
